word;catID_category;
1;unkempt;1E_structure
2;filthy;1E_structure
3;dirty;1E_structure
4;apartment;1E_structure
5;box;1E_structure
6;building;1E_structure
7;condo;1E_structure
8;condominium;1E_structure
9;dwelling;1E_structure
10;home;1E_structure
11;mansion;1E_structure
12;residence;1E_structure
13;shack;1E_structure
14;abode;1E_structure
15;bullpen;1E_structure
16;castle;1E_structure
17;cave;1E_structure
18;coop;1E_structure
19;crib;1E_structure
20;cubbyhole;1E_structure
21;den;1E_structure
22;diggings;1E_structure
23;digs;1E_structure
24;domicile;1E_structure
25;dump;1E_structure
26;edifice;1E_structure
27;flat;1E_structure
28;flophouse;1E_structure
29;habitation;1E_structure
30;homestead;1E_structure
31;joint;1E_structure
32;kennel;1E_structure
33;layout;1E_structure
34;lean-to;1E_structure
35;pad;1E_structure
36;pigpen;1E_structure
37;pigsty;1E_structure
38;rack;1E_structure
39;residency;1E_structure
40;roof;1E_structure
41;roost;1E_structure
42;setup;1E_structure
43;shanty;1E_structure
44;turf;1E_structure
45;commorancy;1E_structure
46;crash pad;1E_structure
47;address;1E_structure
48;base;1E_structure
49;casa;1E_structure
50;crash;1E_structure
51;domicile;1E_structure
52;dwelling;1E_structure
53;flat;1E_structure
54;flop;1E_structure
55;habitat;1E_structure
56;haunt;1E_structure
57;headquarters;1E_structure
58;hearth;1E_structure
59;hole;1E_structure
60;house;1E_structure
61;joint;1E_structure
62;lodging;1E_structure
63;quarters;1E_structure
64;residence;1E_structure
65;roost;1E_structure
66;sanctuary;1E_structure
67;seat;1E_structure
68;board;1E_structure
69;entertain;1E_structure
70;furnish;1E_structure
71;harbor;1E_structure
72;hold;1E_structure
73;put up;1E_structure
74;receive;1E_structure
75;rent;1E_structure
76;shelter;1E_structure
77;supply;1E_structure
78;welcome;1E_structure
79;bill;1E_money
80;capital;1E_money
81;cash;1E_money
82;check;1E_money
83;fund;1E_money
84;pay;1E_money
85;payment;1E_money
86;property;1E_money
87;salary;1E_money
88;wage;1E_money
89;wealth;1E_money
90;banknote;1E_money
91;bankroll;1E_money
92;bread;1E_money
93;bucks;1E_money
94;chips;1E_money
95;coin;1E_money
96;coinage;1E_money
97;dough;1E_money
98;finances;1E_money
99;funds;1E_money
100;gold;1E_money
101;gravy;1E_money
102;greenback;1E_money
103;loot;1E_money
104;pesos;1E_money
105;resources;1E_money
106;riches;1E_money
107;roll;1E_money
108;silver;1E_money
109;treasure;1E_money
110;wad;1E_money
111;wherewithal;1E_money
112;dollar;1E_money
113;tender;1E_money
114;exchange;1E_money
115;debt;1E_money
116;loan;1E_money
117;bank;1E_money
118;economic;1E_money
119;fiscal;1E_money
120;pecuniary;1E_money
121;expended;1E_money
122;mercenary;1E_money
123;pecunious;1E_money
124;expending;1E_money
125;monetary;1E_money
126;priced;1E_money
127;financial;1E_money
128;numismatical;1E_money
129;advocate;1E_money
130;benefactor;1E_money
131;champion;1E_money
132;endorser;1E_money
133;follower;1E_money
134;grubstaker;1E_money
135;meal ticket;1E_money
136;money;1E_money
137;patron;1E_money
138;promoter;1E_money
139;protagonist;1E_money
140;sponsor;1E_money
141;staker;1E_money
142;underwriter;1E_money
143;CD;1E_money
144;IRA;1E_money
145;business;1E_money
146;estate;1E_money
147;financing;1E_money
