word;strength;polarity;
1;abandoned;weaksubj;negative
2;abandonment;weaksubj;negative
3;abandon;weaksubj;negative
4;abase;strongsubj;negative
5;abasement;strongsubj;negative
6;abash;strongsubj;negative
7;abate;weaksubj;negative
8;abdicate;weaksubj;negative
9;aberration;strongsubj;negative
10;abhor;strongsubj;negative
11;abhorred;strongsubj;negative
12;abhorrence;strongsubj;negative
13;abhorrent;strongsubj;negative
14;abhorrently;strongsubj;negative
15;abhors;strongsubj;negative
16;abidance;strongsubj;positive
17;abide;strongsubj;positive
18;abject;strongsubj;negative
19;abjectly;strongsubj;negative
20;abjure;weaksubj;negative
21;abilities;weaksubj;positive
22;ability;weaksubj;positive
23;able;weaksubj;positive
24;abnormal;weaksubj;negative
25;abolish;weaksubj;negative
26;abominable;strongsubj;negative
27;abominably;strongsubj;negative
28;abominate;strongsubj;negative
29;abomination;strongsubj;negative
30;above;weaksubj;positive
31;aboveaverage;weaksubj;positive
32;abound;weaksubj;positive
33;abrade;weaksubj;negative
34;abrasive;strongsubj;negative
35;abrupt;weaksubj;negative
36;abscond;strongsubj;negative
37;absence;weaksubj;negative
38;absentee;weaksubj;negative
39;absentminded;strongsubj;negative
40;absolve;strongsubj;positive
41;absurd;strongsubj;negative
42;absurdity;strongsubj;negative
43;absurdly;strongsubj;negative
44;absurdness;strongsubj;negative
45;abundant;weaksubj;positive
46;abundance;weaksubj;positive
47;abuse;weaksubj;negative
48;abuse;strongsubj;negative
49;abuses;weaksubj;negative
50;abusive;strongsubj;negative
51;abysmal;strongsubj;negative
52;abysmally;strongsubj;negative
53;abyss;strongsubj;negative
54;accede;strongsubj;positive
55;accept;weaksubj;positive
56;acceptance;weaksubj;positive
57;acceptable;weaksubj;positive
58;accessible;weaksubj;positive
59;accidental;weaksubj;negative
60;acclaim;strongsubj;positive
61;acclaimed;strongsubj;positive
62;acclamation;strongsubj;positive
63;accolade;strongsubj;positive
64;accolades;strongsubj;positive
65;accommodative;weaksubj;positive
66;accomplish;weaksubj;positive
67;accomplishment;weaksubj;positive
68;accomplishments;weaksubj;positive
69;accord;weaksubj;positive
70;accordance;weaksubj;positive
71;accordantly;weaksubj;positive
72;accost;weaksubj;negative
73;accountable;weaksubj;negative
74;accurate;weaksubj;positive
75;accurately;weaksubj;positive
76;accursed;strongsubj;negative
77;accusation;strongsubj;negative
78;accusations;strongsubj;negative
79;accuse;strongsubj;negative
80;accuses;strongsubj;negative
81;accusing;strongsubj;negative
82;accusingly;strongsubj;negative
83;acerbate;strongsubj;negative
84;acerbic;strongsubj;negative
85;acerbically;strongsubj;negative
86;ache;strongsubj;negative
87;achievable;weaksubj;positive
88;achieve;weaksubj;positive
89;achievement;weaksubj;positive
90;achievements;weaksubj;positive
91;acknowledge;weaksubj;positive
92;acknowledgement;weaksubj;positive
93;acquit;weaksubj;positive
94;acrid;strongsubj;negative
95;acridly;strongsubj;negative
96;acridness;strongsubj;negative
97;acrimonious;strongsubj;negative
98;acrimoniously;strongsubj;negative
99;acrimony;strongsubj;negative
100;active;weaksubj;positive
101;acumen;strongsubj;positive
102;adamant;strongsubj;negative
